x,y,speed,lookahead
7.049148217,4.337734371,5.5,1.49
7.0429992341048235,4.274284941745461,5.4914719373648495,1.4871573124549498
7.03752847428396,4.210753291133668,5.482943874729699,1.4843146249098997
7.032335940003594,4.1471919250056875,5.4744158120945485,1.4814719373648495
7.027021633729914,4.083653349202586,5.465887749459398,1.4786292498197993
7.021185557929107,4.020190069565432,5.4573596868242475,1.475786562274749
7.014427715067359,3.9568545919352913,5.448831624189097,1.472943874729699
7.006609432085826,3.893648119672949,5.437450358553302,1.4693987808243785
6.998490527400011,3.8304196082913267,5.424084256047494,1.4653650564075658
6.98990099111999,3.767232119320872,5.410718153541685,1.461331331990753
6.980547337945234,3.704174562390074,5.3973520510358775,1.4572976075739403
6.970136082575215,3.641335847127418,5.383985948530069,1.4532638831571274
6.958373739709399,3.5788048831613897,5.370619846024261,1.4492301587403147
6.944985735585603,3.5166600362729667,5.353443730895317,1.4442644628150907
6.930447467995539,3.454597184186977,5.318850415203472,1.435038325708558
6.914894925434479,3.392602281123701,5.284257099511626,1.425812188602025
6.89807321406955,3.3308964628848705,5.24966378381978,1.4165860514954922
6.879727440067879,3.2697008652722195,5.2150704681279345,1.4073599143889595
6.859602709596594,3.2092366240874792,5.180477152436088,1.3981337772824267
6.837444128822821,3.1497248751323825,5.145883836744243,1.3889076401758937
6.813171206106165,3.0911188371579925,5.126222167754399,1.3837659395578659
6.787067099827084,3.033015166407277,5.111039992775156,1.3798495698863893
6.759156061402056,2.9755900841430662,5.095857817795912,1.375933200214913
6.729449005295482,2.9190437378761422,5.0806756428166695,1.3720168305434364
6.6979568459717616,2.8635762751172895,5.065493467837427,1.3681004608719598
6.664690497895294,2.8093878433772903,5.050311292858183,1.3641840912004832
6.629620742836312,2.756652601055168,5.046332464713699,1.3633286880966484
6.59239165753106,2.7052072275229895,5.062359613059854,1.3679392967207449
6.553152292401163,2.6549602727207415,5.07838676140601,1.3725499053448413
6.512199236638676,2.605887814474564,5.094413909752166,1.3771605139689378
6.469829079435656,2.5579659306105933,5.110441058098322,1.3817711225930343
6.426338409984159,2.5111706989549685,5.126468206444478,1.3863817312171307
6.3820238174762425,2.4654781973338262,5.1424953547906345,1.3909923398412272
6.336787488880145,2.4208020071087573,5.1542338030999995,1.3941914258072308
6.290309216889237,2.377125835610615,5.165740429785755,1.3973142132511756
6.242669708491501,2.3345579565423114,5.1772470564715105,1.4004370006951201
6.193950728896319,2.2932068842594817,5.188753683157265,1.4035597881390647
6.144234043313073,2.253181133117762,5.200260309843021,1.4066825755830092
6.093601416951138,2.214589217472786,5.211766936528775,1.4098053630269538
6.042112590328498,2.1773690058348083,5.221312794690355,1.4122876569926295
5.989695804448894,2.140891699376303,5.229177994116926,1.4142209565483606
5.936319320182654,2.105491973757489,5.237043193543497,1.4161542561040914
5.881963997366766,2.07164281698951,5.244908392970067,1.4180875556598223
5.826610695838228,2.039817217083514,5.252773592396638,1.4200208552155533
5.7702402754340305,2.0104881620506454,5.260638791823209,1.4219541547712842
5.712828848663085,1.9841241888103636,5.275620804659165,1.4258142652821846
5.654070692008163,1.9607170395872793,5.338997148678942,1.4427766902882375
5.594002178687355,1.9399167584089883,5.402373492698719,1.4597391152942902
5.532919089772778,1.9214896974837072,5.465749836718496,1.4767015403003432
5.471117206336552,1.9052022090196539,5.529126180738272,1.493663965306396
5.40889230945079,1.8908206452250447,5.59250252475805,1.5106263903124488
5.346540180187612,1.8781113583080968,5.655878868777826,1.5275888153185015
5.284096205511224,1.867180975222232,5.7315692721159754,1.5478889132257712
5.221080632901065,1.8586399323070797,5.812097341614913,1.5695002397728042
5.157617138789005,1.8521397469603549,5.892625411113851,1.5911115663198374
5.093867815427142,1.8472771709852955,5.9731534806127895,1.6127228928668709
5.029994755067571,1.8436489561851397,6.053681550111728,1.634334219413904
4.966160049962387,1.8408518543631258,6.134209619610665,1.6559455459609371
4.902506746476156,1.8385529479744638,6.209885442786784,1.676266568881786
4.838869376214556,1.8374416270735774,6.274643711736559,1.6936844086437193
4.775182275036338,1.837578141724475,6.339401980686334,1.711102248405653
4.711464796394065,1.83867602146443,6.40416024963611,1.7285200881675866
4.647736293740297,1.840448795830714,6.468918518585886,1.7459379279295202
4.584016120527597,1.8426099943605996,6.533676787535661,1.7633557676914535
4.5203236302085275,1.8448731465913593,6.598435056485437,1.780773607453387
4.456666848531889,1.8475005050546838,6.655312293064089,1.7960854851206376
