x,y 
190.9653778076172,-0.5579895973205566 
190.9703826904297,-0.5579895973205566 
190.9703826904297,-0.5579895973205566 
190.9753875732422,-0.5579895973205566 
190.9753875732422,-0.5579895973205566 
190.9803924560547,-0.5579895973205566 
190.9803924560547,-0.5579895973205566 
190.9803924560547,-0.5579895973205566 
190.9853973388672,-0.5579895973205566 
190.9853973388672,-0.5579895973205566 
190.9853973388672,-0.5579895973205566 
190.9904022216797,-0.5579895973205566 
190.9904022216797,-0.5579895973205566 
190.9954071044922,-0.5579895973205566 
190.9954071044922,-0.5579895973205566 
190.9954071044922,-0.5579895973205566 
191.0004119873047,-0.5579895973205566 
191.0004119873047,-0.5579895973205566 
191.0054168701172,-0.5579895973205566 
191.0054168701172,-0.5579895973205566 
191.0054168701172,-0.5579895973205566 
191.0104217529297,-0.5579895973205566 
191.0104217529297,-0.5579895973205566 
191.0154266357422,-0.5579895973205566 
191.0154266357422,-0.5579895973205566 
191.0154266357422,-0.5579895973205566 
191.0204315185547,-0.5579895973205566 
191.0204315185547,-0.5579895973205566 
191.0254364013672,-0.5579895973205566 
191.0254364013672,-0.5579895973205566 
191.0254364013672,-0.5579895973205566 
191.0304412841797,-0.5579895973205566 
191.0304412841797,-0.5579895973205566 
191.0354461669922,-0.5579895973205566 
191.0354461669922,-0.5579895973205566 
191.0354461669922,-0.5579895973205566 
191.0404510498047,-0.5579895973205566 
191.0404510498047,-0.5579895973205566 
191.0454559326172,-0.5579895973205566 
191.0454559326172,-0.5579895973205566 
191.0454559326172,-0.5579895973205566 
191.0504608154297,-0.5579895973205566 
191.0504608154297,-0.5579895973205566 
191.0554656982422,-0.5579895973205566 
191.0554656982422,-0.5579895973205566 
191.0554656982422,-0.5579895973205566 
191.0604705810547,-0.5579895973205566 
191.0604705810547,-0.5579895973205566 
191.0654754638672,-0.5579895973205566 
191.0654754638672,-0.5579895973205566 
191.0654754638672,-0.5579895973205566 
191.0704803466797,-0.5579895973205566 
191.0704803466797,-0.5579895973205566 
191.0754852294922,-0.5579895973205566 
191.0754852294922,-0.5579895973205566 
191.0754852294922,-0.5579895973205566 
191.0804901123047,-0.5579895973205566 
191.0804901123047,-0.5579895973205566 
191.0854949951172,-0.5579895973205566 
191.0854949951172,-0.5579895973205566 
191.0854949951172,-0.5579895973205566 
191.0904998779297,-0.5579895973205566 
191.0904998779297,-0.5579895973205566 
191.0955047607422,-0.5579895973205566 
191.0955047607422,-0.5579895973205566 
191.0955047607422,-0.5579895973205566 
191.1005096435547,-0.5579895973205566 
191.1005096435547,-0.5579895973205566 
191.1055145263672,-0.5579895973205566 
191.1055145263672,-0.5579895973205566 
191.1055145263672,-0.5579895973205566 
191.1105194091797,-0.5579895973205566 
191.1105194091797,-0.5579895973205566 
191.1155242919922,-0.5579895973205566 
191.1155242919922,-0.5579895973205566 
191.1155242919922,-0.5579895973205566 
191.1205291748047,-0.5579895973205566 
191.1205291748047,-0.5579895973205566 
191.1255340576172,-0.5579895973205566 
191.1255340576172,-0.5579895973205566 
191.1255340576172,-0.5579895973205566 
191.1305389404297,-0.5579895973205566 
191.1305389404297,-0.5579895973205566 
191.1355438232422,-0.5579895973205566 
191.1355438232422,-0.5579895973205566 
191.1355438232422,-0.5579895973205566 
191.1405487060547,-0.5579895973205566 
191.1405487060547,-0.5579895973205566 
191.1455535888672,-0.5579895973205566 
191.1455535888672,-0.5579895973205566 
191.1455535888672,-0.5579895973205566 
191.1505584716797,-0.5579895973205566 
191.1505584716797,-0.5579895973205566 
191.1555633544922,-0.5579895973205566 
191.1555633544922,-0.5579895973205566 
191.1555633544922,-0.5579895973205566 
191.1605682373047,-0.5579895973205566 
191.1605682373047,-0.5579895973205566 
191.1655731201172,-0.5579895973205566 
