-4.6305789,-1.8309528,6.2585907
-4.4319687,-1.8050379,6.4011754
-4.2354082,-1.7806135,6.5395459
-4.0368936,-1.7555643,6.6739732
-3.8386582,-1.7278768,6.8046993
-3.6425158,-1.6958252,6.9319420
-3.4450164,-1.6574147,7.0403036
-3.2504141,-1.6126585,7.1115996
-3.0571091,-1.5611364,7.1740794
-2.8648399,-1.5031937,7.2489538
-2.6754229,-1.4402227,7.3443249
-2.4868130,-1.3725077,7.4582688
-2.2998775,-1.3012791,7.5696047
-2.1137586,-1.2271375,7.6784531
-1.9290761,-1.1512090,7.7849252
-1.7438398,-1.0735065,7.8891240
-1.5604928,-0.9957978,7.9911451
-1.3755842,-0.9172653,8.0910772
-1.1911207,-0.8391824,8.1890033
-1.0085443,-0.7623624,8.2850007
-0.8226194,-0.6844826,8.3791418
-0.6390847,-0.6072060,8.4714946
-0.4560882,-0.5296283,8.5621227
-0.2717766,-0.4524870,8.6510861
-0.0867620,-0.3791789,8.7157389
0.1010246,-0.3102158,8.7345217
0.2913116,-0.2461318,8.7375185
0.4814494,-0.1879426,8.7326765
0.6746056,-0.1347214,8.7264956
0.8691968,-0.0869919,8.7198015
1.0642647,-0.0449564,8.7130010
1.2613954,-0.0082522,8.7084583
1.4587539,0.0227946,8.7048340
1.6572279,0.0483759,8.7032803
1.8562524,0.0684388,8.7031542
2.0557496,0.0830063,8.7038146
2.2554661,0.0920991,8.7063180
2.4554095,0.0957569,8.7099927
2.6553281,0.0940347,8.7161537
2.8549740,0.0870330,8.7257978
3.0545239,0.0748848,8.7405027
3.2534850,0.0578336,8.7638483
3.4521076,0.0361806,8.7990644
3.6498266,0.0105239,8.8540006
3.8484738,-0.0183141,8.8691895
4.0451806,-0.0485614,8.6339396
4.2432299,-0.0795062,8.3436299
4.4406492,-0.1097380,8.0849487
4.6386426,-0.1384028,7.8528959
4.8370674,-0.1645172,7.6439941
5.0356663,-0.1871587,7.4546959
5.2350038,-0.2055563,7.2841108
5.4344667,-0.2188515,7.1288644
5.6343261,-0.2263160,6.9893158
5.8343687,-0.2271975,6.8631815
6.0342174,-0.2207958,6.7506874
6.2336627,-0.2064363,6.6508732
6.4323941,-0.1834768,6.5630053
6.6294799,-0.1514171,6.4874205
6.8253267,-0.1095690,6.4218100
