-7.2689523,6.0141175,2.9034504
-7.2625034,5.8163293,2.8918954
-7.2022899,5.6256800,2.8802942
-7.0986096,5.4552590,2.9469489
-6.9737449,5.3066440,3.2758538
-6.8303817,5.1735602,3.5584458
-6.6633500,5.0490840,3.8311087
-6.4933207,4.9471041,4.0446731
-6.3109329,4.8570007,4.2830640
-6.1226913,4.7820289,4.4881319
-5.9324013,4.7255789,4.5247432
-5.7380800,4.6904790,4.5067360
-5.5400609,4.6776653,4.4886565
-5.3413982,4.6831332,4.5845493
-5.1425744,4.7016374,4.7895989
-4.9454973,4.7299153,4.9872657
-4.7488140,4.7657949,5.1758967
-4.5534485,4.8071886,5.3564582
-4.3590962,4.8525850,5.5297517
-4.1649388,4.9008459,5.6964513
-3.9715909,4.9506137,5.8571304
-3.7781487,5.0009795,6.0122817
-3.5850086,5.0508117,6.1623323
-3.3911724,5.0994909,6.3076557
-3.1972266,5.1463630,6.4485806
-3.0027174,5.1910969,6.5853981
-2.8075449,5.2332180,6.7183677
-2.6118098,5.2722207,6.8477221
-2.4153430,5.3076676,6.9736704
-2.2182179,5.3390816,7.0964020
-2.0203963,5.3660206,6.9631852
-1.8220027,5.3880370,6.7667014
-1.6230861,5.4047181,6.5676847
-1.4236776,5.4156726,6.3638821
-1.2241824,5.4205195,6.1534046
-1.0245401,5.4189287,5.9342777
-0.8250353,5.4105860,5.7033784
-0.6260587,5.3951806,5.4571797
-0.4277287,5.3721490,5.2097829
-0.2306567,5.3403978,4.9854288
-0.0358328,5.2980268,4.7850860
0.1561746,5.2428226,4.6034930
0.3428599,5.1732731,4.4318546
0.5226475,5.0879985,4.2653441
0.6944399,4.9853987,4.0942738
0.8552455,4.8659887,3.9147399
1.0040651,4.7303748,3.6664266
1.1382699,4.5776477,3.4495497
1.2491864,4.4053146,3.4358215
1.3181933,4.2254082,3.4220382
1.3694194,4.0428692,3.6304948
1.4106701,3.8449047,3.6258675
1.4160393,3.6383606,3.5728051
1.3858006,3.4427430,3.5548495
1.3381231,3.2525647,3.5407022
1.2597164,3.0693047,3.5264982
1.1548979,2.9055043,3.5918554
1.0262683,2.7527741,3.7680790
0.8782668,2.6124870,3.9715476
0.7211354,2.4911153,4.1558033
0.5508710,2.3835389,4.3242306
0.3728392,2.2928767,4.4619505
0.1867589,2.2187091,4.5714692
-0.0035792,2.1620634,4.6640265
-0.1996145,2.1215028,4.7580921
-0.3972532,2.0964778,4.8696176
-0.5965626,2.0852261,5.0013023
-0.7962451,2.0861888,5.1518435
-0.9952092,2.0975903,5.3230163
-1.1941306,2.1176593,5.4976242
-1.3919375,2.1444265,5.6655196
-1.5889247,2.1760959,5.8272932
-1.7857268,2.2111608,5.9834515
-1.9816188,2.2485945,6.1344331
-2.1774146,2.2880537,6.2806208
-2.3729061,2.3291919,6.4223511
-2.5676625,2.3716331,6.5599217
-2.7627038,2.4153265,6.6935978
-2.9573383,2.4598616,6.8236167
-3.1514976,2.5049776,6.9501917
-3.3460451,2.5506513,7.0735157
-3.5402529,2.5965090,7.1937637
-3.7344017,2.6424195,7.3110951
-3.9286298,2.6882272,7.4256555
-4.1227284,2.7337070,7.3764541
-4.3175350,2.7787426,7.0529600
-4.5118919,2.8224815,6.7548515
-4.7071988,2.8641093,6.4753668
-4.9035744,2.9024762,6.2093046
-5.1000904,2.9362976,5.9583778
-5.2979304,2.9645649,5.7236806
-5.4964731,2.9857988,5.5083699
-5.6956947,2.9983940,5.3247276
-5.8952238,3.0003395,5.1758754
-6.0945033,2.9894530,5.0688926
-6.2910555,2.9636634,5.0234644
-6.4866133,2.9200494,5.0034724
-6.6741405,2.8592922,4.9834002
-6.8589607,2.7807625,4.9601861
-7.0357380,2.6878895,4.8652052
-7.2060601,2.5806685,4.7343816
-7.3667631,2.4616587,4.5647825
-7.5201443,2.3291269,4.3607111
-7.6595100,2.1888334,4.1155119
-7.7922330,2.0308432,3.8508434
-7.9053799,1.8671772,3.5777612
-7.9979610,1.6954195,3.2885257
-8.0820000,1.5229120,3.0228010
-8.1728767,1.3486913,3.0094760
-8.2191488,1.1521885,2.9974992
-8.2099693,0.9506676,2.9854743
-8.1499742,0.7591444,3.0166347
-8.0482484,0.5874170,3.0859746
-7.9121882,0.4373241,3.2331954
-7.7526138,0.3140260,3.4035232
-7.5809730,0.2160645,3.5900871
-7.4130847,0.1230258,3.8602814
-7.2456896,0.0209328,4.1108029
-7.0686265,-0.0742376,4.3450705
-6.8823142,-0.1582768,4.5656012
-6.6972573,-0.2278456,4.7724157
-6.5047450,-0.2879285,4.9708983
-6.3104744,-0.3373458,5.1602541
-6.1131796,-0.3767772,5.3366305
-5.9161391,-0.4051601,5.4756686
-5.7168267,-0.4220507,5.5668967
-5.5176937,-0.4270687,5.6418026
-5.3189172,-0.4212640,5.7339348
-5.1196515,-0.4063452,5.8658718
-4.9213907,-0.3843350,6.0207297
-4.7236894,-0.3572831,6.1705090
-4.5263095,-0.3273154,6.3155803
-4.3290430,-0.2965460,6.4562702
-4.1316163,-0.2668721,6.5928678
-3.9338163,-0.2397386,6.7256312
-3.7356400,-0.2155980,6.8547914
-3.5371199,-0.1944976,6.9805567
-3.3383064,-0.1763175,7.1031151
-3.1392604,-0.1609346,7.2226378
-2.9400144,-0.1482252,7.3392805
-2.7406395,-0.1380695,7.4531858
-2.5411479,-0.1303460,7.5644847
-2.3415603,-0.1249355,7.6732975
-2.1419610,-0.1217207,7.7797355
-1.9423215,-0.1205831,7.8839015
-1.7426564,-0.1214064,7.9858912
-1.5430539,-0.1240738,8.0857932
-1.3434574,-0.1284703,8.1836905
-1.1438783,-0.1344814,8.2796603
-0.9444021,-0.1419896,8.3737750
-0.7449528,-0.1508833,8.4661025
-0.5455419,-0.1610487,8.5567065
-0.3462465,-0.1723678,8.6456469
-0.1469794,-0.1847318,8.7329802
0.0522452,-0.1980269,8.8187598
0.2513634,-0.2121352,8.9030360
0.4504665,-0.2269501,8.9858564
0.6495348,-0.2423571,9.0672663
0.8485214,-0.2582398,9.1473086
1.0475158,-0.2744923,9.2260238
1.2464902,-0.2910001,9.3034507
1.4454172,-0.3076484,9.3796262
1.6443798,-0.3243321,9.4545854
1.8433395,-0.3409361,9.5283617
2.0422892,-0.3573441,9.6009872
2.2413101,-0.3734110,9.6724924
2.4403552,-0.3888932,9.7429065
2.6394354,-0.4034091,9.8122576
2.8386560,-0.4165361,9.6937410
3.0379384,-0.4278706,9.5046133
3.2373170,-0.4371271,9.3217991
3.4369467,-0.4440414,9.1447964
3.6364709,-0.4483349,8.9729245
3.8360927,-0.4497519,8.8056113
4.0358523,-0.4480289,8.6423348
4.2353116,-0.4429149,8.4826113
4.4347729,-0.4341487,8.3260867
4.6340929,-0.4214724,8.1724425
4.8329232,-0.4046464,8.0221300
5.0314699,-0.3833730,7.8749790
5.2294318,-0.3573871,7.7309575
5.4265807,-0.3264185,7.5901547
5.6229825,-0.2901362,7.4524406
5.8181259,-0.2483018,7.3182317
6.0119328,-0.2005847,7.1878570
6.2043130,-0.1466181,7.0613803
6.3943867,-0.0862525,6.9404400
6.5823642,-0.0189832,6.8250835
6.7676701,0.0554744,6.7160818
6.9494925,0.1372971,6.6173809
7.1279966,0.2271924,6.5271626
7.3018511,0.3250772,6.4414121
7.4713495,0.4316128,6.3548990
7.6348038,0.5459090,6.2630420
7.7937421,0.6692062,6.1669156
7.9452998,0.7993079,6.0571041
8.0899560,0.9363961,5.9362375
8.2298216,1.0823542,5.7987311
8.3618690,1.2325371,5.6156827
8.4887305,1.3850048,5.3279968
8.6168054,1.5339405,5.3067929
8.7538604,1.6724516,5.2855040
8.8965866,1.8128943,5.4616030
9.0333030,1.9619193,5.5301566
9.1577995,2.1140149,5.3914596
9.2772629,2.2778427,5.2240383
9.3855871,2.4456086,5.0356987
9.4846798,2.6206989,4.8282318
9.5718381,2.8004304,4.6285595
9.6462583,2.9873847,4.4661473
9.7031300,3.1770238,4.3742888
9.7396772,3.3734126,4.3568804
9.7514430,3.5708288,4.3394021
9.7384447,3.7700791,4.3268800
9.7035634,3.9659153,4.3816216
9.6490787,4.1595229,4.4832933
9.5778615,4.3464753,4.5965603
9.4915710,4.5268887,4.7230237
9.3902837,4.7017979,4.6480210
9.2763883,4.8671004,4.4702277
9.1509633,5.0208564,4.2737352
9.0087318,5.1671796,4.0709096
8.8606545,5.2964445,3.8547014
8.7125351,5.4205609,3.3191941
8.5549534,5.5414334,2.9924660
8.3780009,5.6378557,2.7405076
8.1841679,5.6908771,2.5354643
7.9840988,5.6839737,2.4539464
7.8005855,5.6036580,2.4441804
7.6644045,5.4642881,2.4343752
7.5404792,5.3136034,2.8275395
7.4297775,5.1480461,3.1697337
7.3378859,4.9746149,3.4760625
7.2553191,4.7875614,3.7553307
7.1834418,4.6024188,4.0132077
7.1136689,4.4127220,4.2536012
7.0439888,4.2250158,4.4793411
6.9689272,4.0354144,4.4742135
6.8882000,3.8532717,4.1732154
6.7911612,3.6692920,3.8815486
6.6860483,3.5064372,3.6125266
6.5676529,3.3531358,3.4300141
6.4403139,3.2039203,3.3251671
6.2849033,3.0769167,3.2790498
6.1058655,2.9860696,3.2556444
5.9109720,2.9377072,3.2426878
5.7104871,2.9350911,3.2296793
5.5162736,2.9757069,3.2176615
5.3355297,3.0458941,3.3800707
5.1648374,3.1457328,3.4767798
5.0103383,3.2718315,3.6064410
4.8723902,3.4194139,3.7766799
4.7534178,3.5827644,3.9402692
4.6555519,3.7552643,4.0796448
4.5756397,3.9391941,4.2167488
4.5144136,4.1294438,4.3509043
4.4698014,4.3239866,4.5048558
4.4385382,4.5215325,4.7065437
4.4167132,4.7201076,4.9082004
4.3993954,4.9195290,5.1003709
4.3816172,5.1179525,4.9220120
4.3578147,5.3174908,4.6478187
4.3233946,5.5139964,4.4452090
4.2737792,5.7068730,4.3092484
4.2042308,5.8960357,4.2244880
4.1131722,6.0744691,4.1919939
4.0003959,6.2375485,4.1753110
3.8683984,6.3848333,4.1585611
3.7283503,6.5238869,4.3899209
3.5844475,6.6605575,4.6079654
3.4336250,6.7927887,4.8145171
3.2762355,6.9155859,5.0087487
3.1131479,7.0273094,5.1497089
2.9407434,7.1303613,5.2742825
2.7622145,7.2228726,5.3888640
2.5809047,7.3038264,5.4963484
2.3930735,7.3754771,5.6052010
2.2034701,7.4365172,5.7120218
2.0102041,7.4883372,5.8250883
1.8150173,7.5312039,5.9456316
1.6182720,7.5659763,6.0777358
1.4204453,7.5936448,6.2257003
1.2216556,7.6153428,6.3690847
1.0227965,7.6322195,6.5082006
0.8231600,7.6455016,6.6433249
0.6235548,7.6560951,6.7747050
0.4243039,7.6649022,6.9025628
0.2237995,7.6728448,7.0270987
0.0256934,7.6803317,7.1484942
-0.1748713,7.6878703,7.2669143
-0.3740684,7.6954156,7.3825096
-0.5724722,7.7031468,7.4954181
-0.7727461,7.7114381,7.6057667
-0.9720446,7.7204230,7.7136722
-1.1708929,7.7303377,7.8192425
-1.3704363,7.7413420,7.9225778
-1.5696581,7.7531793,8.0237708
-1.7687071,7.7655682,8.1229081
-1.9679198,7.7782495,8.2200704
-2.1669913,7.7909713,8.3153331
-2.3660984,7.8035468,8.4087667
-2.5655878,7.8158195,8.5004375
-2.7645682,7.8275667,8.5904079
-2.9636376,7.8386536,8.3961348
-3.1633290,7.8489184,8.1163332
-3.3625809,7.8580959,7.8353566
-3.5616306,7.8659622,7.5530616
-3.7616908,7.8722827,7.2705205
-3.9609047,7.8766057,6.9964408
-4.1600168,7.8783100,6.7466383
-4.3610027,7.8762262,6.5244764
-4.5591927,7.8691304,6.3169169
-4.7591990,7.8558290,6.1225503
-4.9578226,7.8354632,5.9423893
-5.1557922,7.8069051,5.7709972
-5.3519775,7.7693413,5.6075206
-5.5465019,7.7218025,5.4433209
-5.7373306,7.6640012,5.2807639
-5.9254849,7.5947533,5.1132596
-6.1085578,7.5141053,4.9380807
-6.2847533,7.4221454,4.7565817
-6.4560920,7.3166051,4.5686985
-6.6169256,7.1998838,4.3705869
-6.7674047,7.0702327,4.2055774
-6.9060385,6.9244071,4.0838573
-7.0260620,6.7636600,4.0205821
-7.1224697,6.5885736,4.0045813
-7.1919997,6.4013113,3.9885163
-7.2374528,6.2089632,4.0474613
-7.2689523,6.0141175,2.9034504
